Origin Time (GMT),Status,cntP,Mag,TypeMag,cntM,AZgap,RMS,Lat,Lon,Depth,Remarks
 2022-02-12 04:59:29 , manual , 12  , 2.7 , MLv     , 7   , 169 , 0.8 , 8.90 S  , 116.94 E , 10 km  ," Sumbawa Region, Indonesia         "
 2022-02-12 04:33:02 , manual , 43  , 5.0 , mb      , 22  , 116 , 0.8 , 9.93 S  , 160.20 E , 26 km  , Solomon Islands                   
 2022-02-12 02:16:35 , manual , 35  , 3.2 , MLv     , 11  , 214 , 0.4 , 8.28 S  , 110.69 E , 123 km ," Java, Indonesia                   "
 2022-02-12 00:41:08 , manual , 107 , 5.1 , mb      , 74  , 105 , 1.2 , 20.14 N , 121.49 E , 41 km  , Philippine Islands Region         
 2022-02-12 00:10:09 , manual , 12  , 3.3 , MLv     , 4   , 170 , 0.5 , 3.71 S  , 127.45 E , 10 km  ," Seram, Indonesia                  "
 2022-02-11 23:47:45 , manual , 22  , 4.8 , mb      , 12  , 205 , 1.0 , 15.04 S , 168.05 E , 10 km  , Vanuatu Islands                   
 2022-02-11 22:57:51 , manual , 32  , 4.5 , MLv     , 12  , 97  , 0.8 , 6.94 S  , 131.18 E , 119 km ," Tanimbar Islands Reg., Indonesia  "
 2022-02-11 22:24:16 , manual , 27  , 3.4 , MLv     , 13  , 205 , 0.5 , 2.39 N  , 96.09 E  , 10 km  ," Northern Sumatra, Indonesia       "
 2022-02-11 22:02:14 , manual , 26  , 3.0 , MLv     , 12  , 101 , 0.5 , 2.79 N  , 99.08 E  , 167 km ," Northern Sumatra, Indonesia       "
 2022-02-11 21:37:23 , manual , 13  , 2.9 , MLv     , 6   , 237 , 0.4 , 0.66 N  , 97.03 E  , 23 km  ," Northern Sumatra, Indonesia       "
 2022-02-11 19:16:51 , manual , 51  , 4.9 , mb      , 32  , 82  , 0.9 , 26.07 N , 96.42 E  , 19 km  , Myanmar                           
 2022-02-11 17:53:50 , manual , 6   , 4.3 , mb      , 1   , 154 , 1.1 , 23.93 N , 122.31 E , 24 km  , Taiwan Region                     
 2022-02-11 17:47:44 , manual , 7   , 4.3 , MLv     , 6   , 153 , 1.2 , 23.95 N , 122.30 E , 10 km  , Taiwan Region                     
 2022-02-11 17:18:02 , manual , 22  , 2.6 , MLv     , 7   , 64  , 0.8 , 8.92 S  , 124.07 E , 69 km  , Timor Region                      
